PLAYERS,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS,Team
J. Perkins,11,20.95,5.09,9.82,52%,0.73,1.73,42%,0.91,1.55,59%,0.91,0.09,0.36,2.91,3.09,6.0,4.18,1.36,-0.55,11.82,PHX
L. Tenorio,11,33.97,4.27,10.73,40%,1.64,4.91,33%,1.55,1.82,85%,5.55,2.09,0.09,0.73,3.45,4.18,1.73,2.0,3.82,11.73,GIN
M. Digregorio,11,27.83,3.73,11.73,32%,1.82,5.36,34%,2.45,2.73,90%,1.73,0.91,0.09,0.73,2.09,2.82,2.64,1.55,-6.64,11.73,BWE
T. Romeo,11,21.32,3.91,11.18,35%,1.36,5.18,26%,2.55,3.0,85%,5.0,0.73,0.18,0.27,2.64,2.91,1.55,3.27,-1.36,11.73,TNT
J. Chan,9,30.89,4.0,10.56,38%,1.89,5.44,35%,1.67,2.33,71%,4.11,1.22,0.44,0.78,3.67,4.44,2.11,2.33,-0.56,11.56,PHX
A. Maliksi,11,25.24,4.36,11.73,37%,1.45,4.64,31%,1.0,1.27,79%,2.0,1.0,0.09,1.0,3.82,4.82,2.73,2.0,-8.36,11.18,BWE
R. Pogoy,11,21.29,4.36,10.64,41%,0.91,3.45,26%,1.55,2.45,63%,1.36,1.18,0.18,1.27,2.82,4.09,1.55,1.27,6.45,11.18,TNT
E. Camson,10,20.04,4.3,10.3,42%,1.3,4.7,28%,1.2,2.0,60%,0.8,0.9,0.0,0.9,3.5,4.4,2.9,2.0,-5.8,11.1,COL
A. Barroca,11,29.39,3.91,11.45,34%,1.09,4.64,24%,2.18,2.73,80%,3.64,2.27,0.0,0.64,1.55,2.18,2.55,2.09,2.36,11.09,MAG
M. Ahanmisi,11,28.19,3.82,8.64,44%,1.09,3.09,35%,2.0,2.73,73%,3.0,1.91,0.18,1.36,3.64,5.0,2.55,2.18,2.55,10.73,ROS
J. Erram,10,28.03,4.6,9.8,47%,0.2,1.7,12%,1.3,2.2,59%,1.7,0.6,1.4,3.3,5.0,8.3,3.1,2.7,-6.5,10.7,BWE
N. Canaleta,11,17.86,3.45,8.09,43%,2.36,4.73,50%,1.18,1.55,76%,0.73,0.09,0.18,0.64,2.82,3.45,1.91,0.82,3.91,10.45,MER
C. Abueva,5,19.9,3.4,10.6,32%,0.4,2.2,18%,3.2,6.0,53%,2.8,2.2,1.2,3.0,6.4,9.4,2.2,3.4,8.6,10.4,ALA
G. Slaughter,9,25.92,4.11,10.22,40%,0.0,0.0,0%,2.0,3.33,60%,1.44,0.33,0.67,3.44,5.22,8.67,2.0,2.33,6.22,10.22,GIN
P. Zamar,7,22.61,3.29,8.0,41%,1.57,4.14,38%,2.0,2.29,88%,1.86,0.71,0.0,0.43,2.57,3.0,0.86,1.29,-5.43,10.14,BWE
J. Dillinger,11,28.42,3.82,9.82,39%,2.0,5.91,34%,0.45,0.91,50%,1.27,0.82,0.27,0.36,3.45,3.82,2.18,1.64,2.91,10.09,MER
M. Tautuaa,10,22.68,4.1,7.3,56%,0.6,2.1,29%,1.1,1.8,61%,2.1,0.3,0.4,2.1,6.0,8.1,3.4,1.2,-3.6,9.9,GLO
C. Banchero,11,27.34,3.91,9.55,41%,0.55,2.0,27%,1.45,2.18,67%,6.45,1.09,0.0,0.91,2.55,3.45,2.45,2.09,0.82,9.82,ALA
J. Cruz,11,19.92,3.82,7.09,54%,1.64,3.36,49%,0.55,0.73,75%,3.36,1.09,0.09,0.91,2.55,3.45,2.0,2.09,1.82,9.82,TNT
J. Devance,11,20.4,3.73,7.18,52%,1.73,3.82,45%,0.18,0.36,50%,2.0,0.82,0.0,0.45,2.27,2.73,1.18,2.45,2.55,9.36,GIN
S. Thompson,11,31.51,3.27,7.0,47%,0.73,2.64,28%,2.0,2.82,71%,5.36,1.09,0.27,2.45,5.91,8.36,2.18,2.55,3.45,9.27,GIN
J. Jalalon,11,23.59,3.82,8.91,43%,0.91,2.91,31%,0.73,1.18,62%,4.91,2.0,0.0,1.36,3.91,5.27,2.0,1.82,8.64,9.27,MAG
